6“_ 500‰~ 465‰~ 93.0% 35‰~OFF 58/8,652(0.7%)
1“_ 3,000‰~ 2,790‰~ 93.0% 210‰~OFF 0/61(0.0%)
14“_ 9,000‰~ 8,460‰~ 94.0% 540‰~OFF 0/191(0.0%)
1“_ 6,000‰~ 5,640‰~ 94.0% 360‰~OFF 0/191(0.0%)
1“_ 1,800‰~ 1,700‰~ 94.4% 100‰~OFF 0/100(0.0%)
2“_ 1,800‰~ 1,700‰~ 94.4% 100‰~OFF 0/26(0.0%)
2“_ 5,000‰~ 4,745‰~ 94.9% 255‰~OFF 0/1(0.0%)
1“_ 6,000‰~ 5,700‰~ 95.0% 300‰~OFF 1/1,627(0.1%)
1“_ 10,000‰~ 9,500‰~ 95.0% 500‰~OFF 1/1,627(0.1%)
9“_ 9,000‰~ 8,550‰~ 95.0% 450‰~OFF 0/100(0.0%)
2“_ 3,000‰~ 2,850‰~ 95.0% 150‰~OFF 0/19(0.0%)
4“_ 1,800‰~ 1,710‰~ 95.0% 90‰~OFF 0/45(0.0%)
4“_ 9,000‰~ 8,550‰~ 95.0% 450‰~OFF 0/45(0.0%)
1“_ 10,000‰~ 9,580‰~ 95.8% 420‰~OFF 0/67(0.0%)
4“_ 6,000‰~ 5,760‰~ 96.0% 240‰~OFF 0/22(0.0%)
1“_ 3,000‰~ 2,880‰~ 96.0% 120‰~OFF 0/22(0.0%)
1“_ 1,000‰~ 970‰~ 97.0% 30‰~OFF 0/153(0.0%)
5“_ 6,000‰~ 5,820‰~ 97.0% 180‰~OFF 0/61(0.0%)
3“_ 3,000‰~ 2,910‰~ 97.0% 90‰~OFF 0/61(0.0%)
16“_ 1,800‰~ 1,750‰~ 97.2% 50‰~OFF 0/209(0.0%)
10“_ 9,000‰~ 8,800‰~ 97.8% 200‰~OFF 0/61(0.0%)
9“_ 1,800‰~ 1,760‰~ 97.8% 40‰~OFF 0/61(0.0%)
27“_ 6,000‰~ 5,900‰~ 98.3% 100‰~OFF 0/209(0.0%)
2“_ 3,000‰~ 2,950‰~ 98.3% 50‰~OFF 0/209(0.0%)
3“_ 9,000‰~ 8,900‰~ 98.9% 100‰~OFF 0/209(0.0%)
